wavenumber / cm-1,Absorbance
3999.881,-0.00253651
3999.76,-0.002531405
3999.639,-0.002508279
3999.519,-0.002472864
3999.398,-0.002434052
3999.278,-0.002401167
3999.157,-0.002380243
3999.037,-0.002370719
3998.916,-0.002365018
3998.796,-0.002351639
3998.675,-0.002321253
3998.555,-0.002270364
3998.434,-0.002204238
3998.314,-0.002133948
3998.193,-0.002073474
3998.073,-0.002032318
3997.952,-0.002011936
3997.832,-0.002006198
3997.711,-0.002003691
3997.59,-0.001994885
3997.47,-0.001975326
3997.349,-0.001948213
3997.229,-0.001922087
3997.108,-0.001907473
3996.988,-0.001912785
3996.867,-0.001939801
3996.747,-0.001986244
3996.626,-0.002046235
3996.506,-0.002114231
3996.385,-0.002186766
3996.265,-0.002262321
3996.144,-0.002339676
3996.024,-0.002416819
3995.903,-0.00249016
3995.782,-0.002555451
3995.662,-0.002609337
3995.542,-0.002650834
3995.421,-0.002682086
3995.3,-0.002706585
3995.18,-0.002727889
3995.059,-0.002747052
3994.939,-0.002763679
3994.818,-0.002774938
3994.698,-0.002778593
3994.577,-0.002773852
3994.457,-0.00276167
3994.336,-0.002743858
3994.216,-0.00272216
3994.095,-0.002696838
3993.975,-0.002668024
3993.854,-0.002636343
3993.733,-0.002603903
3993.613,-0.002575675
3993.492,-0.002557032
3993.372,-0.002552025
3993.251,-0.002560524
3993.131,-0.002577981
3993.01,-0.002596657
3992.89,-0.002609337
3992.769,-0.002611379
3992.649,-0.002603672
3992.528,-0.002591716
3992.408,-0.002582362
3992.287,-0.002580386
3992.167,-0.002585853
3992.046,-0.002594285
3991.926,-0.002598271
3991.805,-0.002590992
3991.685,-0.002569121
3991.564,-0.002533315
3991.443,-0.002486668
3991.323,-0.002433195
3991.202,-0.002375168
3991.082,-0.002313376
3990.961,-0.002248015
3990.841,-0.002181161
3990.72,-0.002118056
3990.6,-0.002065791
3990.479,-0.002032351
3990.359,-0.002022688
3990.238,-0.002037166
3990.118,-0.002071298
3989.997,-0.002117792
3989.876,-0.002169919
3989.756,-0.002222501
3989.635,-0.002274187
3989.515,-0.002325208
3989.395,-0.002375465
3989.274,-0.002423145
3989.153,-0.002463803
3989.033,-0.002491214
3988.912,-0.002499582
3988.792,-0.002485284
3988.671,-0.002447066
3988.551,-0.002386636
3988.43,-0.002307971
3988.31,-0.002217359
3988.189,-0.002123859
3988.069,-0.002038485
3987.948,-0.001975062
3987.828,-0.001945772
3987.707,-0.001957416
3987.586,-0.002007781
3987.466,-0.002084917
3987.345,-0.002168699
3987.225,-0.002236511
3987.104,-0.002272374
3986.984,-0.002270628
3986.863,-0.002239412
3986.743,-0.002195172
3986.622,-0.002157457
3986.502,-0.002139949
3986.381,-0.002145258
3986.261,-0.002165237
3986.14,-0.002184722
3986.02,-0.002189436
3985.899,-0.002170908
3985.779,-0.002129003
3985.658,-0.002070803
3985.538,-0.002006758
3985.417,-0.001946036
3985.296,-0.001893915
3985.176,-0.001853302
3985.055,-0.001824696
3984.935,-0.001809749
3984.814,-0.00181031
3984.694,-0.001827633
3984.573,-0.001859736
3984.453,-0.001900645
3984.332,-0.001942341
3984.212,-0.001977074
3984.091,-0.002001646
3983.971,-0.002018599
3983.85,-0.002035748
3983.729,-0.00206157
3983.609,-0.002100976
3983.489,-0.00215205
3983.368,-0.002206282
3983.248,-0.002253355
3983.127,-0.002285592
3983.006,-0.002301841
3982.886,-0.002307872
3982.765,-0.002314563
3982.645,-0.002331404
3982.524,-0.002362382
3982.404,-0.002404957
3982.283,-0.002451053
3982.163,-0.002491675
3982.042,-0.002520501
3981.922,-0.002536082
3981.801,-0.002540101
3981.681,-0.002534732
3981.56,-0.002519315
3981.439,-0.002490325
3981.319,-0.002443079
3981.198,-0.002375432
3981.078,-0.002290964
3980.958,-0.002200019
3980.837,-0.002116407
3980.716,-0.002052468
3980.596,-0.002015762
3980.475,-0.00200567
3980.355,-0.002015037
3980.234,-0.002033538
3980.114,-0.002052105
3979.993,-0.002065494
3979.873,-0.002072716
3979.752,-0.00207476
3979.632,-0.002071891
3979.511,-0.002063417
3979.391,-0.002047356
3979.27,-0.002023447
3979.149,-0.001995149
3979.029,-0.001969785
3978.908,-0.001956954
3978.788,-0.001965728
3978.667,-0.001999997
3978.547,-0.00205847
3978.426,-0.002134575
3978.306,-0.002220622
3978.185,-0.00230919
3978.065,-0.002395203
3977.944,-0.002476158
3977.824,-0.002549094
3977.703,-0.002609337
3977.583,-0.002649714
3977.462,-0.002663513
3977.342,-0.002646981
3977.221,-0.002602519
