wavenumber / cm-1,Absorbance
3999.881,0.0003900302
3999.76,0.0003974258
3999.639,0.0004100284
3999.519,0.0004224988
3999.398,0.0004333775
3999.278,0.0004441901
3999.157,0.0004596135
3999.037,0.0004845905
3998.916,0.0005215778
3998.796,0.0005699148
3998.675,0.0006257894
3998.555,0.0006836291
3998.434,0.000738755
3998.314,0.0007894398
3998.193,0.000837043
3998.073,0.0008848839
3997.952,0.0009357186
3997.832,0.0009899797
3997.711,0.001044381
3997.59,0.001092842
3997.47,0.001127722
3997.349,0.001143502
3997.229,0.001137655
3997.108,0.001111843
3996.988,0.001070786
3996.867,0.001020434
3996.747,0.0009655713
3996.626,0.0009093542
3996.506,0.0008528787
3996.385,0.0007960455
3996.265,0.0007402817
3996.144,0.0006881425
3996.024,0.0006454998
3995.903,0.0006186554
3995.782,0.0006133795
3995.662,0.0006321935
3995.542,0.0006728105
3995.421,0.0007282005
3995.3,0.0007873485
3995.18,0.0008383378
3995.059,0.0008715703
3994.939,0.0008818626
3994.818,0.0008706074
3994.698,0.0008451434
3994.577,0.0008168923
3994.457,0.0007975393
3994.336,0.0007963774
3994.216,0.000818021
3994.095,0.0008612118
3993.975,0.0009199131
3993.854,0.0009851311
3993.733,0.0010482
3993.613,0.001101811
3993.492,0.001141376
3993.372,0.001165794
3993.251,0.001175263
3993.131,0.001171309
3993.01,0.001155694
3992.89,0.001130446
3992.769,0.001097725
3992.649,0.001060257
3992.528,0.001020966
3992.408,0.0009825741
3992.287,0.0009463445
3992.167,0.0009116452
3992.046,0.0008755543
3991.926,0.0008340552
3991.805,0.0007830001
3991.685,0.0007206665
3991.564,0.0006491168
3991.443,0.0005748583
3991.323,0.000507645
3991.202,0.0004593149
3991.082,0.0004408401
3990.961,0.0004584857
3990.841,0.0005132512
3990.72,0.0005991452
3990.6,0.0007046697
3990.479,0.0008157304
3990.359,0.0009177548
3990.238,0.001000574
3990.118,0.001058762
3989.997,0.001092676
3989.876,0.001106362
3989.756,0.001106561
3989.635,0.001098755
3989.515,0.001086763
3989.395,0.001071451
3989.274,0.001051688
3989.153,0.001026047
3989.033,0.0009931679
3988.912,0.0009532514
3988.792,0.0009074616
3988.671,0.0008575266
3988.551,0.0008053069
3988.43,0.0007529939
3988.31,0.0007040059
3988.189,0.0006627555
3988.069,0.0006350472
3987.948,0.0006273489
3987.828,0.0006436084
3987.707,0.000684326
3987.586,0.0007449948
3987.466,0.0008167264
3987.345,0.0008883701
3987.225,0.0009492334
3987.104,0.0009924041
3986.984,0.001015618
3986.863,0.001020932
3986.743,0.00101253
3986.622,0.0009939317
3986.502,0.0009666672
3986.381,0.0009293432
3986.261,0.0008803021
3986.14,0.0008194816
3986.02,0.0007496084
3985.899,0.0006779543
3985.779,0.0006141095
3985.658,0.0005673601
3985.538,0.0005449991
3985.417,0.0005506722
3985.296,0.0005837168
3985.176,0.0006404892
3985.055,0.0007155223
3984.935,0.000802087
3984.814,0.0008919891
3984.694,0.0009761315
3984.573,0.00104468
3984.453,0.001088092
3984.332,0.001099519
3984.212,0.001077131
3984.091,0.001025449
3983.971,0.0009536499
3983.85,0.0008738611
3983.729,0.0007986347
3983.609,0.0007360002
3983.489,0.0006902664
3983.368,0.0006613617
3983.248,0.0006475572
3983.127,0.0006469267
3983.006,0.0006583088
3982.886,0.0006810406
3982.765,0.0007126681
3982.645,0.0007483803
3982.524,0.0007816391
3982.404,0.0008050082
3982.283,0.0008142698
3982.163,0.0008103527
3982.042,0.0007997965
3981.922,0.0007933567
3981.801,0.0008006264
3981.681,0.0008276481
3981.56,0.0008733963
3981.439,0.0009309702
3981.319,0.0009898469
3981.198,0.001040461
3981.078,0.001077861
3980.958,0.001102409
3980.837,0.001118122
3980.716,0.001130247
